iter	Passed	Remaining
0	142	85602
1	551	164990
2	945	188142
3	1340	199785
4	1735	206558
5	2129	210844
6	2525	213951
7	2920	216138
8	3341	219439
9	3749	221243
10	4183	224032
11	4622	226506
12	5027	226989
13	5432	227405
14	5844	227924
15	6244	227924
16	6651	228093
17	7065	228457
18	7471	228481
19	7876	228432
20	8280	228318
21	8731	229400
22	9128	229008
23	9525	228615
24	9906	227858
25	10311	227648
26	10704	227166
27	11090	226572
28	11476	225972
29	11851	225184
30	12234	224570
31	12620	224008
32	13008	223517
33	13400	223071
34	13784	222517
35	14222	222821
36	14610	222317
37	14998	221820
38	15386	221322
39	15778	220904
40	16168	220440
41	16550	219890
42	16930	219311
43	17317	218825
44	17701	218321
45	18086	217824
46	18459	217196
47	18836	216618
48	19229	216236
49	19629	215922
50	20036	215688
51	20453	215551
52	20871	215414
53	21280	215166
54	21716	215195
55	22142	215102
56	22511	214449
57	22895	213954
58	23295	213610
59	23688	213198
60	24081	212789
61	24491	212526
62	24895	212207
63	25283	211745
64	25674	211319
65	26064	210888
66	26448	210403
67	26845	210028
68	27242	209647
69	27614	209081
70	27991	208557
71	28369	208042
72	28744	207510
73	29125	207027
74	29493	206457
75	29866	205924
76	30294	205767
77	30669	205250
78	31069	204898
79	31454	204456
80	31850	204080
81	32244	203690
82	32627	203236
83	33001	202722
84	33376	202221
85	33761	201786
86	34135	201283
87	34503	200745
88	34879	200262
89	35260	199808
90	35658	199451
91	36028	198938
92	36394	198407
93	36771	197940
94	37155	197513
95	37534	197056
96	37905	196560
97	38269	196034
98	38638	195534
99	39018	195094
100	39392	194621
101	39766	194154
102	40144	193706
103	40515	193229
104	40891	192775
105	41268	192324
106	41635	191833
107	42010	191381
108	42380	190908
109	42758	190468
110	43156	190123
111	43527	189654
112	43897	189186
113	44280	188776
114	44662	188358
115	45046	187951
116	45426	187530
117	45798	187074
118	46219	186819
119	46592	186370
120	46970	185941
121	47365	185580
122	47748	185170
123	48128	184749
124	48501	184304
125	48886	183906
126	49266	183489
127	49644	183065
128	50027	182657
129	50390	182181
130	50762	181737
131	51140	181316
132	51525	180919
133	51908	180517
134	52279	180073
135	52649	179626
136	53026	179204
137	53407	178797
138	53781	178370
139	54161	177960
140	54533	177524
141	54909	177103
142	55283	176674
143	55654	176238
144	56030	175820
145	56409	175409
146	56783	174984
147	57158	174564
148	57533	174145
149	57931	173794
150	58302	173364
151	58683	172961
152	59068	172571
153	59451	172178
154	59835	171787
155	60215	171383
156	60595	170980
157	60985	170604
158	61355	170174
159	61740	169785
160	62162	169498
161	62552	169122
162	62938	168736
163	63323	168346
164	63700	167936
165	64076	167526
166	64459	167132
167	64837	166724
168	65213	166312
169	65592	165910
170	65979	165528
171	66356	165120
172	66741	164732
173	67120	164328
174	67511	163956
175	67896	163569
176	68268	163150
177	68636	162722
178	69021	162335
179	69399	161931
180	69774	161522
181	70159	161134
182	70535	160728
183	70923	160348
184	71319	159987
185	71695	159579
186	72067	159164
187	72443	158758
188	72813	158340
189	73200	157959
190	73576	157554
191	73949	157142
192	74372	156837
193	74752	156441
194	75134	156048
195	75535	155695
196	75914	155296
197	76306	154925
198	76702	154561
199	77090	154181
200	77476	153796
201	77867	153422
202	78292	153112
203	78665	152703
204	79060	152336
205	79439	151938
206	79823	151549
207	80207	151160
208	80589	150768
209	80974	150380
210	81361	149998
211	81751	149621
212	82151	149261
213	82545	148890
214	82925	148494
215	83352	148182
216	83764	147842
217	84189	147524
218	84574	147136
219	84974	146773
220	85367	146399
221	85746	146001
222	86131	145611
223	86523	145235
224	86904	144840
225	87297	144465
226	87682	144077
227	88067	143689
228	88450	143297
229	88844	142924
230	89231	142538
231	89618	142153
232	90016	141785
233	90420	141426
234	90810	141046
235	91201	140667
236	91585	140275
237	91968	139885
238	92340	139476
239	92719	139079
240	93093	138674
241	93471	138275
242	93884	137928
243	94319	137613
244	94709	137232
245	95099	136851
246	95499	136482
247	95888	136100
248	96278	135717
249	96662	135327
250	97072	134972
251	97476	134611
252	97871	134234
253	98288	133889
254	98694	133528
255	99075	133132
256	99488	132780
257	99882	132402
258	100290	132042
259	100698	131682
260	101159	131391
261	101559	131019
262	101933	130614
263	102313	130217
264	102706	129836
265	103116	129477
266	103516	129105
267	103938	128760
268	104333	128380
269	104706	127974
270	105115	127613
271	105494	127214
272	105913	126862
273	106299	126473
274	106699	126099
275	107111	125739
276	107508	125362
277	107894	124971
278	108291	124593
279	108685	124211
280	109086	123838
281	109467	123441
282	109851	123049
283	110300	122729
284	110693	122345
285	111136	122016
286	111595	121705
287	111996	121329
288	112427	120986
289	112837	120619
290	113253	120258
291	113656	119884
292	114041	119490
293	114416	119086
294	114799	118690
295	115174	118286
296	115570	117905
297	115977	117534
298	116385	117164
299	116794	116794
300	117259	116480
301	117661	116102
302	118070	115732
303	118457	115340
304	118847	114950
